area_code,area_name,tier,case_rate,case_rate_over_60s,growth_rate,positivity_rate,estimated_admissions_rate,estimated_occupancy_rate,score
E07000029,Copeland,Tier 2,66,44,0.5,2.1,0.5,9.1,5.5677655677655675
E07000030,Eden,Tier 2,63.8,43.3,0.4,2.6,0.7,11.6,5.586080586080585
E07000031,South Lakeland,Tier 2,104.7,81.9,0.4,4,2.5,48.1,16.5018315018315
E07000032,Amber Valley,Tier 3,229.4,193,0.7,8.4,2.3,30.8,36.92307692307693
E07000033,Bolsover,Tier 3,242,235.6,0.7,7.3,1.9,27.2,41.51098901098901
E07000034,Chesterfield,Tier 3,122,110.5,0.5,4.4,1.3,23,18.34249084249084
E07000035,Derbyshire Dales,Tier 3,143.8,51.8,0.9,5.9,1.7,27.3,15.567765567765568
E07000036,Erewash,Tier 3,134.3,121.4,0.5,5.2,2.9,33.2,21.62087912087912
E07000037,High Peak,Tier 3,117.6,76.7,0.6,4.7,1.7,33.8,15.906593406593405
E07000038,North East Derbyshire,Tier 3,182.3,127.6,0.8,6.6,1.4,24.7,25.82417582417583
E07000039,South Derbyshire,Tier 3,191.1,119.7,0.5,6.4,2.2,30.5,26.465201465201467
E07000040,East Devon,Tier 2,126.5,109.6,0.9,4,3.3,26.5,19.175824175824175
E07000041,Exeter,Tier 2,105.8,148.4,0.7,3.9,3.5,27.4,20.906593406593405
E07000042,Mid Devon,Tier 2,65.6,52.4,0.8,2.5,3.2,25.7,8.131868131868131
E07000043,North Devon,Tier 2,117.4,86.4,0.8,3.6,2.2,21,15.567765567765568
E07000044,South Hams,Tier 2,39.1,38.2,0.5,1.4,0.8,10.9,2.701465201465201
E07000045,Teignbridge,Tier 2,52.2,44.3,0.8,1.7,1.6,14.7,4.935897435897434
E07000046,Torridge,Tier 2,93.7,94.5,1,2.7,2.3,21.2,14.102564102564102
E07000047,West Devon,Tier 2,68.1,45.3,0.9,2.1,1.8,17.9,6.840659340659339
E07000061,Eastbourne,Tier 2,87.7,77.7,0.6,2.4,1.3,8.1,10.659340659340659
E07000062,Hastings,Tier 2,80.9,53,0.7,2,1.4,8.3,7.774725274725274
E07000063,Lewes,Tier 2,75.5,48,0.8,2.5,0.7,8.8,6.8589743589743595
E07000064,Rother,Tier 2,125.9,73.7,0.9,3.6,1.4,9,14.02014652014652
E07000065,Wealden,Tier 2,129.4,73,0.8,3.9,1.4,11,14.47802197802198
E07000066,Basildon,Tier 2,285.3,130.4,1.1,9.8,0.6,5.1,33.96520146520146
