period,area_code,area_name,unit,geography,measure,value
2018-06-30,E01006091,Trafford 019A,Persons,LSOA,Over 70,123
2018-06-30,E01006092,Trafford 019B,Persons,LSOA,Over 70,81
2018-06-30,E01006095,Trafford 019C,Persons,LSOA,Over 70,216
2018-06-30,E01006097,Trafford 015A,Persons,LSOA,Over 70,361
2018-06-30,E01006098,Trafford 014A,Persons,LSOA,Over 70,213
2018-06-30,E01006099,Trafford 014B,Persons,LSOA,Over 70,178
2018-06-30,E01006102,Trafford 018A,Persons,LSOA,Over 70,183
2018-06-30,E01006104,Trafford 017A,Persons,LSOA,Over 70,255
2018-06-30,E01006105,Trafford 017B,Persons,LSOA,Over 70,114
2018-06-30,E01006106,Trafford 017C,Persons,LSOA,Over 70,215
2018-06-30,E01006107,Trafford 017D,Persons,LSOA,Over 70,229
2018-06-30,E01006108,Trafford 017E,Persons,LSOA,Over 70,51
2018-06-30,E01006109,Trafford 001A,Persons,LSOA,Over 70,94
2018-06-30,E01006110,Trafford 001B,Persons,LSOA,Over 70,137
2018-06-30,E01006111,Trafford 001C,Persons,LSOA,Over 70,87
2018-06-30,E01006112,Trafford 001D,Persons,LSOA,Over 70,130
2018-06-30,E01006113,Trafford 004A,Persons,LSOA,Over 70,148
2018-06-30,E01006114,Trafford 004B,Persons,LSOA,Over 70,161
2018-06-30,E01006115,Trafford 004C,Persons,LSOA,Over 70,146
2018-06-30,E01006116,Trafford 002A,Persons,LSOA,Over 70,193
2018-06-30,E01006117,Trafford 002B,Persons,LSOA,Over 70,245
2018-06-30,E01006118,Trafford 002C,Persons,LSOA,Over 70,229
2018-06-30,E01006119,Trafford 002D,Persons,LSOA,Over 70,208
2018-06-30,E01006120,Trafford 010A,Persons,LSOA,Over 70,261
2018-06-30,E01006121,Trafford 002E,Persons,LSOA,Over 70,216
2018-06-30,E01006122,Trafford 005A,Persons,LSOA,Over 70,349
2018-06-30,E01006123,Trafford 005B,Persons,LSOA,Over 70,254
2018-06-30,E01006124,Trafford 005C,Persons,LSOA,Over 70,257
2018-06-30,E01006125,Trafford 007A,Persons,LSOA,Over 70,224
2018-06-30,E01006126,Trafford 007B,Persons,LSOA,Over 70,211
2018-06-30,E01006127,Trafford 007C,Persons,LSOA,Over 70,202
2018-06-30,E01006128,Trafford 005D,Persons,LSOA,Over 70,290
2018-06-30,E01006129,Trafford 010B,Persons,LSOA,Over 70,277
2018-06-30,E01006130,Trafford 007D,Persons,LSOA,Over 70,238
2018-06-30,E01006131,Trafford 005E,Persons,LSOA,Over 70,230
2018-06-30,E01006132,Trafford 007E,Persons,LSOA,Over 70,206
2018-06-30,E01006133,Trafford 010C,Persons,LSOA,Over 70,302
2018-06-30,E01006141,Trafford 003A,Persons,LSOA,Over 70,124
2018-06-30,E01006142,Trafford 011A,Persons,LSOA,Over 70,234
2018-06-30,E01006143,Trafford 011B,Persons,LSOA,Over 70,219
2018-06-30,E01006144,Trafford 011C,Persons,LSOA,Over 70,155
