area_code,area_name,population,expected_deaths,mortality_rate,imd_decile,imd_rank
E01006074,Trafford 025A,1712,19.721754306038573,1151.9716300256177,4,10951
E01006075,Trafford 025B,2284,28.48448422006663,1247.1315332778734,9,28507
E01006076,Trafford 025C,1727,35.71297731241788,2067.9199370247757,9,28367
E01006077,Trafford 027A,1693,22.182966837511888,1310.275654903242,6,18435
E01006078,Trafford 024A,2188,15.967879901881355,729.7934141627676,5,16369
E01006079,Trafford 025D,2451,23.260951616282647,949.0392336304628,8,26261
E01006080,Trafford 024B,1986,26.426691317836084,1330.6491096594202,7,22269
E01006081,Trafford 027B,1399,24.424573333071198,1745.8594233789274,10,31346
E01006082,Trafford 027C,1657,26.985397447493526,1628.5695502410092,10,30855
E01006083,Trafford 026A,1319,18.103957734795955,1372.5517615463195,9,29327
E01006084,Trafford 026B,1780,18.887902824277482,1061.118136195364,10,29987
E01006085,Trafford 027D,1613,24.87728606218043,1542.2991979033127,9,29452
E01006086,Trafford 027E,1716,25.405849913773217,1480.5273842525185,8,26005
E01006087,Trafford 025E,1495,21.48286595428112,1436.9810002863626,10,30429
E01006088,Trafford 026C,1639,13.351999578435114,814.6430493249002,8,25006
E01006089,Trafford 024C,1888,14.587279414035478,772.6313248959469,7,21205
E01006090,Trafford 020A,2258,27.644708200351307,1224.300628890669,6,18845
E01006091,Trafford 019A,2789,14.598194167074235,523.4203717129521,7,20595
E01006092,Trafford 019B,1406,7.721413604859655,549.1759320668318,2,6060
E01006093,Trafford 023A,1595,19.72281563879934,1236.5401654419647,8,23744
E01006094,Trafford 020B,1596,21.96251284947032,1376.0972963327265,7,21437
E01006095,Trafford 019C,1801,19.572972958716274,1086.783617918727,9,26744
E01006096,Trafford 020C,1643,16.33325570243049,994.1117286932737,9,26853
E01006097,Trafford 015A,1949,31.003238027618828,1590.725399056892,8,25050
E01006098,Trafford 014A,1358,18.265850074878525,1345.0552337907604,9,27030
E01006099,Trafford 014B,1302,15.447831166600904,1186.469367634478,5,15780
E01006100,Trafford 020D,1547,20.06087312990658,1296.7597369041098,7,20453
E01006101,Trafford 021A,1473,19.276379993085786,1308.647657371744,8,25535
E01006102,Trafford 018A,1409,15.986230497257234,1134.5798791523941,6,18511
E01006103,Trafford 020E,1627,17.685000560536338,1086.9699176727927,9,29290
E01006104,Trafford 017A,1501,21.87984499156667,1457.6845430757276,2,4545
E01006105,Trafford 017B,2251,12.91148439919461,573.5888227096673,1,3151
E01006106,Trafford 017C,1569,19.914187370489874,1269.2280032179651,3,7652
E01006107,Trafford 017D,1533,19.92943686876974,1300.0284976366431,1,2401
E01006108,Trafford 017E,1783,6.955374015359352,390.09388756922897,1,831
E01006109,Trafford 001A,1273,11.214464044275319,880.9476861174642,1,3233
E01006110,Trafford 001B,1796,12.923239826571654,719.5567832166846,4,11821
E01006111,Trafford 001C,1831,10.071188527544315,550.0376039073902,3,8246
E01006112,Trafford 001D,1925,13.380953747587059,695.114480394133,2,3545
E01006113,Trafford 004A,1518,15.367727002280686,1012.3667326930623,4,11703
E01006114,Trafford 004B,1769,15.218903347785428,860.3110993660503,4,10747
E01006115,Trafford 004C,1624,16.193591837500385,997.1423545258858,2,5729
E01006116,Trafford 002A,1385,16.75046432084193,1209.4198065589842,6,18406
E01006117,Trafford 002B,1689,21.833943601812088,1292.7142452227406,7,21296
E01006118,Trafford 002C,1481,19.020254577010355,1284.2845764355404,3,7729
E01006119,Trafford 002D,1587,19.532717012883136,1230.7950228659822,8,23578
E01006120,Trafford 010A,1401,21.373593367308747,1525.5955294296036,7,21184
E01006121,Trafford 002E,1508,18.719199516617948,1241.326227892437,4,12272
E01006122,Trafford 005A,1768,28.971945973656,1638.684727016742,6,18804
E01006123,Trafford 005B,1696,22.128044791803738,1304.7196221582392,6,18656
E01006124,Trafford 005C,1429,22.704225851313783,1588.819163842812,8,23971
E01006125,Trafford 007A,1468,19.836910622753116,1351.288189560839,5,14494
E01006126,Trafford 007B,1778,18.634093391600373,1048.0367486839357,2,3738
E01006127,Trafford 007C,1582,18.238786218308718,1152.894198376025,4,12780
E01006128,Trafford 005D,1824,24.80728034850397,1360.0482647206125,5,13546
E01006129,Trafford 010B,1397,23.25130707612323,1664.3741643610044,3,9268
E01006130,Trafford 007D,1755,20.90645664415809,1191.2510908352187,5,14610
E01006131,Trafford 005E,1607,20.10303748124789,1250.966862554318,7,19764
E01006132,Trafford 007E,1516,18.75182545171909,1236.9278002453225,5,14649
E01006133,Trafford 010C,1393,25.8798066864908,1857.846854737315,6,19563
E01006134,Trafford 028A,1513,21.146417052402963,1397.6481858825487,10,31161
E01006135,Trafford 028B,1753,34.01903243977652,1940.6179372376791,8,25367
E01006136,Trafford 028C,1642,25.42072573203436,1548.1562565185359,9,29463
E01006137,Trafford 028D,1426,20.68163282995937,1450.3248828863514,10,30169
E01006138,Trafford 028E,1912,30.673026409483487,1604.2377829227764,6,18289
E01006139,Trafford 026D,1904,18.50219032095814,971.7536933276333,10,31309
E01006140,Trafford 026E,1774,16.107997538617383,908.0043708352528,8,24717
E01006141,Trafford 003A,1695,12.246764785842748,722.5229962149115,4,11719
E01006142,Trafford 011A,1779,21.082520617788468,1185.077044282657,5,15879
E01006143,Trafford 011B,1694,21.743936995956872,1283.585418887655,7,20349
E01006144,Trafford 011C,1403,15.437209655694868,1100.3000467352008,1,1687
E01006145,Trafford 004D,1951,17.14944196395457,879.0077890289374,3,7147
E01006146,Trafford 004E,1770,16.75685238372655,946.7148239393531,6,18401
E01006147,Trafford 012A,1443,16.474810394134487,1141.7055020190219,7,21455
E01006148,Trafford 016A,1772,29.591103923267863,1669.926857972227,7,22313
E01006149,Trafford 012B,1599,19.71331138844598,1232.8524945869906,6,18338
E01006150,Trafford 012C,1871,25.11897685890628,1342.5428572371075,8,23810
E01006151,Trafford 016B,1552,23.72246127457538,1528.509102743259,9,28581
E01006152,Trafford 016C,1618,27.402323560377738,1693.5923090468316,9,27477
E01006153,Trafford 016D,1541,25.474037726597253,1653.084862206181,7,22651
E01006154,Trafford 012D,1533,11.926007739203655,777.9522334770813,7,22377
E01006155,Trafford 006A,1605,17.37030197449152,1082.2618052642692,5,13514
E01006156,Trafford 008A,1693,17.056069615571012,1007.4465218884236,4,12546
E01006157,Trafford 006B,1774,15.088998752713058,850.5636275486504,6,18390
E01006158,Trafford 008B,1723,14.832376079049277,860.8459709256691,2,4767
E01006159,Trafford 006C,1872,11.170910262789086,596.7366593370239,2,5851
E01006160,Trafford 015B,2184,27.905891599412204,1277.7422893503756,3,7094
E01006161,Trafford 015C,2389,23.122104662731573,967.8570390427616,8,26131
E01006162,Trafford 015D,1728,14.147486729796215,818.7202968632068,9,27752
E01006163,Trafford 015E,1922,13.916753010330606,724.0766394552865,9,28101
E01006164,Trafford 014C,1801,23.255133912854603,1291.2345315299615,8,23965
E01006165,Trafford 012E,2062,13.831179587994729,670.7652564497929,5,16411
E01006166,Trafford 013A,1542,18.058379203523582,1171.101115663008,4,11608
E01006167,Trafford 019D,1639,14.093975932496937,859.9131136361768,1,1622
E01006168,Trafford 019E,1979,12.60042005046858,636.7064199327226,1,1503
E01006169,Trafford 013B,1640,23.17903637619535,1413.3558765972775,6,16444
E01006170,Trafford 013C,1557,19.392188733509926,1245.4841832697448,6,17868
E01006171,Trafford 013D,1811,15.883923850909778,877.0802789016994,2,4527
E01006172,Trafford 016E,1520,26.47801318124499,1741.9745513976968,5,14989
E01006173,Trafford 018B,1513,19.38325549266232,1281.1140444588448,7,20403
E01006174,Trafford 014D,1832,23.187025163365597,1265.6673124107858,8,23935
E01006175,Trafford 018C,1722,17.56839492891427,1020.2319935490284,2,4316
E01006176,Trafford 018D,1736,21.63698633846683,1246.3701807872599,5,13722
E01006177,Trafford 018E,1766,12.30713875037814,696.8934739738471,3,7364
E01006178,Trafford 014E,1943,21.305225429065107,1096.5118594475093,8,23961
E01006179,Trafford 008C,1765,21.95088495588145,1243.676201466371,3,8691
E01006180,Trafford 011D,1883,11.462518063589968,608.737018778012,4,10525
E01006181,Trafford 011E,1644,16.529699936059927,1005.4562004902632,3,8719
E01006182,Trafford 006D,1545,16.21940297764079,1049.7995454783681,6,17968
E01006183,Trafford 006E,1706,17.09692374323978,1002.1643460281232,7,21256
E01006184,Trafford 008D,1799,21.037938522682918,1169.4240423948258,4,11375
E01006185,Trafford 001E,2416,11.891703453040563,492.2062687516789,2,5624
E01006186,Trafford 003B,1986,13.544090366914363,681.9783669141169,3,8828
E01006187,Trafford 003C,2547,14.684699673437475,576.5488682150559,4,10948
E01006188,Trafford 001F,1693,9.956362600406228,588.0899350505746,5,14508
E01006189,Trafford 003D,2300,18.25859326865935,793.8518812460587,4,9923
E01006190,Trafford 021B,1713,22.86249722452682,1334.6466564230484,9,28441
E01006191,Trafford 023B,1554,21.703566377320946,1396.625893006496,8,24068
E01006192,Trafford 023C,1477,23.729529885253715,1606.6032420618628,8,26034
E01006193,Trafford 024D,1563,18.48246838824349,1182.4995769829488,8,23572
E01006194,Trafford 024E,2497,14.529342666402265,581.8719529996902,8,24552
E01006195,Trafford 021C,1799,22.09318339043006,1228.0813446598142,9,27208
E01006196,Trafford 021D,1845,17.758722943755284,962.5324088756252,8,22998
E01006197,Trafford 010D,1476,16.21687651348381,1098.7043708322365,6,18755
E01006198,Trafford 009A,1494,22.519836553002044,1507.3518442437778,3,8004
E01006199,Trafford 009B,1667,16.439090828316704,986.1482200549913,3,8917
E01006200,Trafford 009C,1479,31.877738139163398,2155.35754828691,3,7649
E01006201,Trafford 009D,1550,12.964378132686546,836.41149243139,3,8911
E01006202,Trafford 009E,1411,16.658569323574962,1180.6214970641363,4,13050
E01006203,Trafford 010E,1369,17.739829604661566,1295.8239302163306,7,21833
E01006204,Trafford 022A,1580,27.156756981398196,1718.7820874302656,8,24702
E01006205,Trafford 023D,1344,22.36361377716922,1663.959358420329,8,23449
E01006206,Trafford 022B,1911,18.840187378542836,985.8810768468255,4,10084
E01006207,Trafford 022C,1707,19.618571220906645,1149.301184587384,2,3686
E01006208,Trafford 022D,1630,19.164010580695546,1175.7061705948188,7,19997
E01006209,Trafford 023E,1659,26.442772141253823,1593.898260473407,8,26088
E01006210,Trafford 021E,1736,21.90966219932011,1262.0773156290386,7,21826
E01006211,Trafford 022E,1590,18.242208972229882,1147.3087403918166,3,8523
