area_code,area_name,indicator,period,measure,unit,value
E02001259,Old Trafford,Personal Independence Payment,2019-01,count,persons,516
E02001260,Trafford Park West & Kingsway Park,Personal Independence Payment,2019-01,count,persons,231
E02001261,Gorse Hill,Personal Independence Payment,2019-01,count,persons,313
E02001262,Firswood,Personal Independence Payment,2019-01,count,persons,351
E02001263,Davyhulme,Personal Independence Payment,2019-01,count,persons,183
E02001264,Trafford Park East & Sevenways,Personal Independence Payment,2019-01,count,persons,238
E02001265,Flixton & Moorside,Personal Independence Payment,2019-01,count,persons,316
E02001266,Lostock & Stretford Meadows,Personal Independence Payment,2019-01,count,persons,321
E02001267,Urmston East,Personal Independence Payment,2019-01,count,persons,268
E02001268,Urmston West,Personal Independence Payment,2019-01,count,persons,178
E02001269,Stretford East,Personal Independence Payment,2019-01,count,persons,303
E02001270,Sale North,Personal Independence Payment,2019-01,count,persons,182
E02001271,Ashton upon Mersey North,Personal Independence Payment,2019-01,count,persons,254
E02001272,Sale East,Personal Independence Payment,2019-01,count,persons,136
E02001273,Sale Central,Personal Independence Payment,2019-01,count,persons,152
E02001274,Ashton upon Mersey South,Personal Independence Payment,2019-01,count,persons,149
E02001275,Partington,Personal Independence Payment,2019-01,count,persons,519
E02001276,Sale Moor,Personal Independence Payment,2019-01,count,persons,337
E02001277,Broadheath & Firsway,Personal Independence Payment,2019-01,count,persons,432
E02001278,West Timperley,Personal Independence Payment,2019-01,count,persons,155
E02001279,Timperley North,Personal Independence Payment,2019-01,count,persons,120
E02001280,Timperley East,Personal Independence Payment,2019-01,count,persons,358
E02001281,Timperley South,Personal Independence Payment,2019-01,count,persons,119
E02001282,Altrincham East,Personal Independence Payment,2019-01,count,persons,182
E02001283,"Altrincham West, Dunham & Warburton",Personal Independence Payment,2019-01,count,persons,156
E02001284,Hale,Personal Independence Payment,2019-01,count,persons,75
E02001285,Bowdon,Personal Independence Payment,2019-01,count,persons,95
E02001286,Hale Barns,Personal Independence Payment,2019-01,count,persons,105
E02001259,Old Trafford,Personal Independence Payment,2019-02,count,persons,527
E02001260,Trafford Park West & Kingsway Park,Personal Independence Payment,2019-02,count,persons,237
E02001261,Gorse Hill,Personal Independence Payment,2019-02,count,persons,309
E02001262,Firswood,Personal Independence Payment,2019-02,count,persons,358
E02001263,Davyhulme,Personal Independence Payment,2019-02,count,persons,185
E02001264,Trafford Park East & Sevenways,Personal Independence Payment,2019-02,count,persons,245
E02001265,Flixton & Moorside,Personal Independence Payment,2019-02,count,persons,318
E02001266,Lostock & Stretford Meadows,Personal Independence Payment,2019-02,count,persons,321
E02001267,Urmston East,Personal Independence Payment,2019-02,count,persons,271
E02001268,Urmston West,Personal Independence Payment,2019-02,count,persons,188
E02001269,Stretford East,Personal Independence Payment,2019-02,count,persons,312
E02001270,Sale North,Personal Independence Payment,2019-02,count,persons,187
E02001271,Ashton upon Mersey North,Personal Independence Payment,2019-02,count,persons,257
E02001272,Sale East,Personal Independence Payment,2019-02,count,persons,137
E02001273,Sale Central,Personal Independence Payment,2019-02,count,persons,153
E02001274,Ashton upon Mersey South,Personal Independence Payment,2019-02,count,persons,145
E02001275,Partington,Personal Independence Payment,2019-02,count,persons,527
E02001276,Sale Moor,Personal Independence Payment,2019-02,count,persons,339
E02001277,Broadheath & Firsway,Personal Independence Payment,2019-02,count,persons,427
E02001278,West Timperley,Personal Independence Payment,2019-02,count,persons,149
E02001279,Timperley North,Personal Independence Payment,2019-02,count,persons,121
E02001280,Timperley East,Personal Independence Payment,2019-02,count,persons,364
E02001281,Timperley South,Personal Independence Payment,2019-02,count,persons,116
E02001282,Altrincham East,Personal Independence Payment,2019-02,count,persons,181
E02001283,"Altrincham West, Dunham & Warburton",Personal Independence Payment,2019-02,count,persons,153
E02001284,Hale,Personal Independence Payment,2019-02,count,persons,71
E02001285,Bowdon,Personal Independence Payment,2019-02,count,persons,95
E02001286,Hale Barns,Personal Independence Payment,2019-02,count,persons,107
E02001259,Old Trafford,Personal Independence Payment,2019-03,count,persons,533
E02001260,Trafford Park West & Kingsway Park,Personal Independence Payment,2019-03,count,persons,234
E02001261,Gorse Hill,Personal Independence Payment,2019-03,count,persons,312
E02001262,Firswood,Personal Independence Payment,2019-03,count,persons,363
E02001263,Davyhulme,Personal Independence Payment,2019-03,count,persons,183
E02001264,Trafford Park East & Sevenways,Personal Independence Payment,2019-03,count,persons,246
E02001265,Flixton & Moorside,Personal Independence Payment,2019-03,count,persons,315
E02001266,Lostock & Stretford Meadows,Personal Independence Payment,2019-03,count,persons,323
E02001267,Urmston East,Personal Independence Payment,2019-03,count,persons,271
E02001268,Urmston West,Personal Independence Payment,2019-03,count,persons,188
E02001269,Stretford East,Personal Independence Payment,2019-03,count,persons,307
E02001270,Sale North,Personal Independence Payment,2019-03,count,persons,186
E02001271,Ashton upon Mersey North,Personal Independence Payment,2019-03,count,persons,255
