area_code,area_name,indicator,period,measure,unit,value
E02001284,Hale,People on Universal Credit,2019-03,count,persons,73
E02001285,Bowdon,People on Universal Credit,2019-03,count,persons,125
E02001286,Hale Barns,People on Universal Credit,2019-03,count,persons,104
E02001259,Old Trafford,People on Universal Credit,2019-04,count,persons,847
E02001260,Trafford Park West & Kingsway Park,People on Universal Credit,2019-04,count,persons,193
E02001261,Gorse Hill,People on Universal Credit,2019-04,count,persons,480
E02001262,Firswood,People on Universal Credit,2019-04,count,persons,377
E02001263,Davyhulme,People on Universal Credit,2019-04,count,persons,115
E02001264,Trafford Park East & Sevenways,People on Universal Credit,2019-04,count,persons,315
E02001265,Flixton & Moorside,People on Universal Credit,2019-04,count,persons,236
E02001266,Lostock & Stretford Meadows,People on Universal Credit,2019-04,count,persons,405
E02001267,Urmston East,People on Universal Credit,2019-04,count,persons,217
E02001268,Urmston West,People on Universal Credit,2019-04,count,persons,102
E02001269,Stretford East,People on Universal Credit,2019-04,count,persons,425
E02001270,Sale North,People on Universal Credit,2019-04,count,persons,191
E02001271,Ashton upon Mersey North,People on Universal Credit,2019-04,count,persons,254
E02001272,Sale East,People on Universal Credit,2019-04,count,persons,137
E02001273,Sale Central,People on Universal Credit,2019-04,count,persons,212
E02001274,Ashton upon Mersey South,People on Universal Credit,2019-04,count,persons,91
E02001275,Partington,People on Universal Credit,2019-04,count,persons,656
E02001276,Sale Moor,People on Universal Credit,2019-04,count,persons,345
E02001277,Broadheath & Firsway,People on Universal Credit,2019-04,count,persons,637
E02001278,West Timperley,People on Universal Credit,2019-04,count,persons,134
E02001279,Timperley North,People on Universal Credit,2019-04,count,persons,76
E02001280,Timperley East,People on Universal Credit,2019-04,count,persons,380
E02001281,Timperley South,People on Universal Credit,2019-04,count,persons,85
E02001282,Altrincham East,People on Universal Credit,2019-04,count,persons,222
E02001283,"Altrincham West, Dunham & Warburton",People on Universal Credit,2019-04,count,persons,162
E02001284,Hale,People on Universal Credit,2019-04,count,persons,71
E02001285,Bowdon,People on Universal Credit,2019-04,count,persons,137
