Month,Altrincham,Stretford
2019-01-01,2318,4749
2019-02-01,2236,4422
2019-03-01,2264,4478
2019-04-01,2286,4557
2019-05-01,2345,4671
2019-06-01,2329,4825
2019-07-01,2372,4884
2019-08-01,2441,4981
2019-09-01,2454,5120
2019-10-01,2497,5243
2019-11-01,2552,5372
2019-12-01,2574,5364
2020-01-01,2565,5421
2020-02-01,2651,5659
2020-03-01,2655,5802
2020-04-01,3944,8167
