area_name,area_code,date,place,percent
Greater Manchester,E47000001,2020-02-29,Residential,0
Greater Manchester,E47000001,2020-03-01,Retail & recreation,0.05
Greater Manchester,E47000001,2020-03-01,Grocery & pharmacy,-0.01
Greater Manchester,E47000001,2020-03-01,Parks,0.12
Greater Manchester,E47000001,2020-03-01,Transit stations,0.05
Greater Manchester,E47000001,2020-03-01,Workplaces,0
Greater Manchester,E47000001,2020-03-01,Residential,-0.01
Greater Manchester,E47000001,2020-03-02,Retail & recreation,0.01
Greater Manchester,E47000001,2020-03-02,Grocery & pharmacy,0
Greater Manchester,E47000001,2020-03-02,Parks,-0.03
Greater Manchester,E47000001,2020-03-02,Transit stations,0
Greater Manchester,E47000001,2020-03-02,Workplaces,0
Greater Manchester,E47000001,2020-03-02,Residential,0
Greater Manchester,E47000001,2020-03-03,Retail & recreation,0.01
Greater Manchester,E47000001,2020-03-03,Grocery & pharmacy,0.01
Greater Manchester,E47000001,2020-03-03,Parks,-0.06
Greater Manchester,E47000001,2020-03-03,Transit stations,-0.02
Greater Manchester,E47000001,2020-03-03,Workplaces,0.01
Greater Manchester,E47000001,2020-03-03,Residential,0
Greater Manchester,E47000001,2020-03-04,Retail & recreation,0
Greater Manchester,E47000001,2020-03-04,Grocery & pharmacy,0.03
Greater Manchester,E47000001,2020-03-04,Parks,0
Greater Manchester,E47000001,2020-03-04,Transit stations,-0.03
Greater Manchester,E47000001,2020-03-04,Workplaces,0.01
Greater Manchester,E47000001,2020-03-04,Residential,0.01
Greater Manchester,E47000001,2020-03-05,Retail & recreation,0.02
Greater Manchester,E47000001,2020-03-05,Grocery & pharmacy,0.03
Greater Manchester,E47000001,2020-03-05,Parks,0.1
Greater Manchester,E47000001,2020-03-05,Transit stations,-0.03
Greater Manchester,E47000001,2020-03-05,Workplaces,0.01
Greater Manchester,E47000001,2020-03-05,Residential,0
Greater Manchester,E47000001,2020-03-06,Retail & recreation,0.05
Greater Manchester,E47000001,2020-03-06,Grocery & pharmacy,0.02
Greater Manchester,E47000001,2020-03-06,Parks,0.23
Greater Manchester,E47000001,2020-03-06,Transit stations,0.01
Greater Manchester,E47000001,2020-03-06,Workplaces,0.01
Greater Manchester,E47000001,2020-03-06,Residential,0
Greater Manchester,E47000001,2020-03-07,Retail & recreation,-0.01
Greater Manchester,E47000001,2020-03-07,Grocery & pharmacy,0
Greater Manchester,E47000001,2020-03-07,Parks,0.01
Greater Manchester,E47000001,2020-03-07,Transit stations,0.01
Greater Manchester,E47000001,2020-03-07,Workplaces,0.01
Greater Manchester,E47000001,2020-03-07,Residential,0
Greater Manchester,E47000001,2020-03-08,Retail & recreation,0.09
Greater Manchester,E47000001,2020-03-08,Grocery & pharmacy,0.02
Greater Manchester,E47000001,2020-03-08,Parks,0.15
Greater Manchester,E47000001,2020-03-08,Transit stations,0.05
Greater Manchester,E47000001,2020-03-08,Workplaces,0.02
Greater Manchester,E47000001,2020-03-08,Residential,-0.01
Greater Manchester,E47000001,2020-03-09,Retail & recreation,-0.04
Greater Manchester,E47000001,2020-03-09,Grocery & pharmacy,-0.01
Greater Manchester,E47000001,2020-03-09,Parks,-0.13
Greater Manchester,E47000001,2020-03-09,Transit stations,-0.04
Greater Manchester,E47000001,2020-03-09,Workplaces,0
Greater Manchester,E47000001,2020-03-09,Residential,0.01
Greater Manchester,E47000001,2020-03-10,Retail & recreation,-0.02
Greater Manchester,E47000001,2020-03-10,Grocery & pharmacy,0.03
Greater Manchester,E47000001,2020-03-10,Parks,-0.06
Greater Manchester,E47000001,2020-03-10,Transit stations,-0.05
Greater Manchester,E47000001,2020-03-10,Workplaces,0
Greater Manchester,E47000001,2020-03-10,Residential,0.01
Greater Manchester,E47000001,2020-03-11,Retail & recreation,-0.04
Greater Manchester,E47000001,2020-03-11,Grocery & pharmacy,0.02
Greater Manchester,E47000001,2020-03-11,Parks,-0.07
Greater Manchester,E47000001,2020-03-11,Transit stations,-0.07
Greater Manchester,E47000001,2020-03-11,Workplaces,0
Greater Manchester,E47000001,2020-03-11,Residential,0.01
